,Date,Open,High,Low,Close,Adj Close,Volume
126,1996-06-25,1.381875,1.381875,1.3725,1.374875,1.112277,99999.0
127,1996-06-26,1.35,1.35,1.3325,1.3325,1.077996,39999.0
128,1996-06-27,1.3225,1.3225,1.3,1.3,1.051703,119999.0
129,1996-06-28,1.305,1.324375,1.305,1.324375,1.071423,139999.0
130,1996-07-01,1.275,1.275,1.275,1.275,1.036369,19999.0
131,1996-07-02,1.274875,1.3,1.274875,1.2875,1.046529,99999.0
132,1996-07-03,1.2875,1.2875,1.2875,1.2875,1.046529,0.0
133,1996-07-04,1.4125,1.4125,1.2625,1.3,1.05669,2439999.0
134,1996-07-05,1.309875,1.3125,1.309875,1.3125,1.06685,119999.0
135,1996-07-08,1.2625,1.274875,1.2625,1.274875,1.036267,39999.0
136,1996-07-09,1.3,1.3,1.163125,1.165,0.946957,219999.0
137,1996-07-10,1.22425,1.2375,1.22425,1.2375,1.005887,139999.0
138,1996-07-11,1.2475,1.25,1.2475,1.25,1.016048,99999.0
139,1996-07-12,1.25,1.25,1.25,1.25,1.016048,0.0
140,1996-07-15,1.275,1.275,1.275,1.275,1.036369,39999.0
141,1996-07-16,1.274875,1.28,1.2625,1.2625,1.026208,199999.0
142,1996-07-17,1.3125,1.3125,1.3125,1.3125,1.06685,39999.0
143,1996-07-18,1.435,1.435,1.435,1.435,1.166423,19999.0
144,1996-07-19,1.375125,1.375125,1.375,1.375,1.117652,39999.0
145,1996-07-22,1.398625,1.39875,1.398625,1.39875,1.136957,39999.0
146,1996-07-23,1.307625,1.307625,1.307625,1.307625,1.062887,19999.0
147,1996-07-24,1.3625,1.375,1.277,1.277,1.037994,79999.0
148,1996-07-25,1.4,1.4,1.4,1.4,1.137973,19999.0
149,1996-07-26,1.3,1.3125,1.3,1.3125,1.06685,39999.0
150,1996-07-29,1.3125,1.3125,1.3125,1.3125,1.06685,0.0
151,1996-07-30,1.3075,1.3075,1.265,1.265,1.02824,59999.0
152,1996-07-31,1.30025,1.30025,1.30025,1.30025,1.056893,19999.0
153,1996-08-01,1.30025,1.30025,1.30025,1.30025,1.056893,0.0
154,1996-08-02,1.311875,1.311875,1.311875,1.311875,1.066342,19999.0
155,1996-08-05,1.3,1.3,1.3,1.3,1.05669,19999.0
156,1996-08-06,1.295,1.295,1.2875,1.2875,1.046529,39999.0
157,1996-08-07,1.2875,1.2875,1.2875,1.2875,1.046529,0.0
158,1996-08-08,1.2875,1.2875,1.2875,1.2875,1.046529,0.0
159,1996-08-09,1.2875,1.2875,1.2875,1.2875,1.046529,0.0
160,1996-08-12,1.275,1.2925,1.275,1.287625,1.046631,619999.0
161,1996-08-13,1.2925,1.2925,1.2925,1.2925,1.050593,19999.0
162,1996-08-14,1.29,1.29,1.2875,1.2875,1.046529,59999.0
163,1996-08-15,1.2875,1.2875,1.2875,1.2875,1.046529,0.0
164,1996-08-16,1.289875,1.289875,1.275,1.275,1.036369,59999.0
165,1996-08-19,1.2625,1.27225,1.2625,1.265,1.02824,179999.0
166,1996-08-20,1.26275,1.26275,1.26275,1.26275,1.026412,39999.0
167,1996-08-21,1.27,1.2725,1.262625,1.2715,1.033524,279999.0
168,1996-08-22,1.2625,1.269875,1.2625,1.265,1.02824,79999.0
169,1996-08-23,1.265,1.265,1.265,1.265,1.02824,0.0
170,1996-08-26,1.25,1.25,1.25,1.25,1.016048,19999.0
171,1996-08-27,1.249875,1.25,1.215,1.215125,0.9877,199999.0
172,1996-08-28,1.215125,1.215125,1.215125,1.215125,0.9877,0.0
173,1996-08-29,1.215125,1.215125,1.215125,1.215125,0.9877,0.0
174,1996-08-30,1.215125,1.215125,1.215125,1.215125,0.9877,0.0
175,1996-09-02,1.215125,1.215125,1.215125,1.215125,0.9877,0.0
176,1996-09-03,1.2,1.2,1.19,1.2,0.975406,99999.0
177,1996-09-04,1.2,1.2,1.2,1.2,0.975406,0.0
178,1996-09-05,1.2,1.2,1.2,1.2,0.975406,0.0
179,1996-09-06,1.2125,1.2125,1.2,1.2,0.975406,39999.0
180,1996-09-09,1.2125,1.2125,1.1625,1.186625,0.964534,219999.0
181,1996-09-10,1.186625,1.186625,1.186625,1.186625,0.964534,0.0
182,1996-09-11,1.248375,1.248375,1.248375,1.248375,1.014727,19999.0
183,1996-09-12,1.2125,1.249875,1.2125,1.249875,1.015946,39999.0
184,1996-09-13,1.256,1.256,1.256,1.256,1.020925,19999.0
185,1996-09-16,1.200125,1.200125,1.2,1.2,0.975406,39999.0
186,1996-09-17,1.2,1.2,1.2,1.2,0.975406,0.0
187,1996-09-18,1.2,1.2,1.2,1.2,0.975406,0.0
188,1996-09-19,1.18,1.18,1.1775,1.1775,0.957117,39999.0
189,1996-09-20,1.197375,1.1975,1.197375,1.1975,0.973374,39999.0
190,1996-09-23,1.175,1.175,1.175,1.175,0.955085,19999.0
191,1996-09-24,1.15,1.15,1.15,1.15,0.934764,119999.0
192,1996-09-25,1.15,1.15,1.15,1.15,0.934764,0.0
193,1996-09-26,1.15,1.15,1.15,1.15,0.934764,0.0
194,1996-09-27,1.15,1.15,1.15,1.15,0.934764,0.0
195,1996-09-30,1.15,1.15,1.15,1.15,0.934764,0.0
196,1996-10-01,1.1,1.100125,1.1,1.100125,0.894224,99999.0
197,1996-10-02,1.100125,1.100125,1.100125,1.100125,0.894224,0.0
