,Date,Open,High,Low,Close,Adj Close,Volume
81,2023-03-31,520.650024,524.900024,519.349976,523.75,513.766235,17356345
82,2023-04-03,524.75,528.5,522.099976,526.75,516.709045,14210949
83,2023-04-05,527.0,527.599976,519.049988,523.0,513.030518,13574801
84,2023-04-06,524.0,533.700012,521.650024,527.650024,517.591919,25125879
85,2023-04-10,529.25,530.400024,524.400024,526.299988,516.267578,17335453
86,2023-04-11,530.849976,535.700012,527.150024,532.099976,521.957031,26414406
87,2023-04-12,533.200012,534.0,526.0,528.200012,518.131409,21292441
88,2023-04-13,529.299988,534.25,527.150024,532.950012,522.790894,28597560
89,2023-04-17,528.0,545.0,528.0,544.0,533.630188,32476990
90,2023-04-18,545.349976,548.5,540.5,545.849976,535.444946,22283456
91,2023-04-19,544.0,547.5,538.25,540.299988,530.000732,21156372
92,2023-04-20,541.200012,545.450012,536.650024,544.799988,534.414978,25588577
93,2023-04-21,545.0,546.400024,539.700012,543.150024,532.796448,22599418
94,2023-04-24,543.799988,555.549988,543.5,554.599976,544.028137,23335611
95,2023-04-25,555.0,567.900024,555.0,561.799988,551.090881,38142390
96,2023-04-26,562.0,567.0,556.450012,566.349976,555.554138,23143882
97,2023-04-27,565.0,567.400024,561.099976,564.75,553.98468,17845169
98,2023-04-28,567.799988,580.450012,565.5,578.299988,567.276367,16183423
99,2023-05-02,580.0,580.849976,573.150024,575.299988,564.333557,13667511
100,2023-05-03,570.650024,575.0,569.0,570.5,559.625061,9699527
101,2023-05-04,570.200012,580.799988,568.5,580.0,568.94397,12533761
102,2023-05-05,580.200012,588.25,575.049988,576.5,565.510681,18163461
103,2023-05-08,577.650024,587.599976,577.349976,583.599976,572.475342,12990869
104,2023-05-09,585.0,586.450012,572.099976,573.5,562.567871,18959065
105,2023-05-10,575.0,575.0,563.25,572.200012,561.292664,18561315
106,2023-05-11,572.200012,580.0,572.0,573.450012,562.51886,16016715
107,2023-05-12,574.700012,580.75,571.549988,578.150024,567.129272,11319335
108,2023-05-15,578.75,584.0,574.650024,581.900024,570.8078,11410243
109,2023-05-16,584.0,590.400024,582.0,586.299988,575.123901,22178229
